Sample ID,Cruise ID,Station,Polymer,Depth_label,Depth(m),Timepoint,replicate_timepoint,incubation_time(hours),Date_inject,volume_inject_uL,Area,CO2_area_nmol,headspace_volume,CO2_in_bottle_umol,delta_13C
N2104016,PE480,st04,background,-,10,t0,1,0,4/9/2021,50,3190.4,72.1,45,64.89,0.035
N2104017,PE480,st04,background,-,10,t0,2,0,4/9/2021,20,891.7,20.15,45,45.3375,-0.341
N2104018,PE480,st04,background,-,10,t0,3,0,4/9/2021,20,1082.4,24.46,45,55.035,-0.481
N2104230,PE480,st11,background,-,,t0,1,0,6/7/2021,50,2920.7,66.01,45,59.409,-0.654
N2104231,PE480,st11,background,-,,t0,2,0,6/7/2021,50,3045,68.82,45,61.938,-0.654
N2104232,PE480,st11,background,-,,t0,3,0,6/7/2021,50,2979.1,67.33,45,60.597,-0.654
N2104164,PE480,st04,background,-,,t1,1,24,4/16/2021,50,3393,76.68,45,69.012,-0.808
N2104165,PE480,st04,background,-,,t1,2,24,4/16/2021,50,2813.9,63.59,45,57.231,0.021
N2104166,PE480,st04,background,-,,t1,3,24,4/16/2021,50,3141.2,70.99,45,63.891,-0.379
N2104233,PE480,st11,background,-,,t1,1,24,6/7/2021,50,3090.6,69.85,45,62.865,-0.902
N2104234,PE480,st11,background,-,,t1,2,24,6/7/2021,50,2927.6,66.16,45,59.544,-1.23
N2104235,PE480,st11,background,-,,t1,3,24,6/7/2021,50,3046.6,68.85,45,61.965,-1.104
N2104085,PE480,st04,PP,D01,,t1,1,24,4/14/2021,50,3280.4,74.14,45,66.726,93.173
N2104087,PE480,st04,PP,D01,,t1,2,24,4/14/2021,50,3131.1,70.76,45,63.684,96.187
N2104089,PE480,st04,PP,D01,,t1,3,24,4/14/2021,50,3255.7,73.58,45,66.222,95.206
N2104161,PE480,st04,PP,D01,,t2,1,72,4/16/2021,50,3266.6,73.83,45,66.447,92.978
N2104162,PE480,st04,PP,D01,,t2,2,72,4/16/2021,50,3257.8,73.63,45,66.267,187.552
N2104163,PE480,st04,PP,D01,,t2,3,72,4/16/2021,50,3260.6,73.69,45,66.321,97.008
N2104130,PE480,st04,PP,D01,,t3,1,144,4/15/2021,50,3006.2,67.94,45,61.146,100.857
N2104131,PE480,st04,PP,D01,,t3,2,144,4/15/2021,50,2861.4,64.67,45,58.203,298.333
N2104132,PE480,st04,PP,D01,,t3,3,144,4/15/2021,50,2556.7,57.78,45,52.002,97.283
N2104082,PE480,st04,PP,D02,,t1,1,24,4/13/2021,50,3131.6,70.77,45,63.693,335.296
N2104083,PE480,st04,PP,D02,,t1,2,24,4/13/2021,50,3262.9,73.74,45,66.366,320.33
N2104084,PE480,st04,PP,D02,,t1,3,24,4/13/2021,50,3003.9,67.89,45,61.101,98.974
N2104127,PE480,st04,PP,D02,,t3,1,144,4/15/2021,50,3223.4,72.85,45,65.565,117.925
N2104128,PE480,st04,PP,D02,,t3,2,144,4/15/2021,50,2559.1,57.84,45,52.056,120.041
N2104129,PE480,st04,PP,D02,,t3,3,144,4/15/2021,50,3006.1,67.94,45,61.146,147.059
N2104158,PE480,st04,PP,D02,,t2,1,72,4/16/2021,50,2962.2,66.95,45,60.255,100.825
N2104159,PE480,st04,PP,D02,,t2,2,72,4/16/2021,50,3172.6,71.7,45,64.53,321.364
N2104160,PE480,st04,PP,D02,,t2,3,72,4/16/2021,50,3094.2,69.93,45,62.937,191.845
N2104078,PE480,st04,PP,D03,,t1,1,24,4/13/2021,50,3043.7,68.79,45,61.911,90.19
N2104080,PE480,st04,PP,D03,,t1,2,24,4/13/2021,50,3296.1,74.49,45,67.041,89.549
N2104081,PE480,st04,PP,D03,,t1,3,24,4/13/2021,50,3194.5,72.2,45,64.98,88.258
N2104124,PE480,st04,PP,D03,,t3,1,144,4/15/2021,50,2709.6,61.24,45,55.116,151.237
N2104125,PE480,st04,PP,D03,,t3,2,144,4/15/2021,50,2995.5,67.7,45,60.93,124.647
N2104126,PE480,st04,PP,D03,,t3,3,144,4/15/2021,50,3001.4,67.83,45,61.047,125.965
N2104155,PE480,st04,PP,D03,,t2,1,72,4/16/2021,50,3154.4,71.29,45,64.161,89.282
N2104156,PE480,st04,PP,D03,,t2,2,72,4/16/2021,50,3112.3,70.34,45,63.306,88.362
N2104157,PE480,st04,PP,D03,,t2,3,72,4/16/2021,50,3090,69.83,45,62.847,91.411
N2104074,PE480,st04,PP,D04,,t1,1,24,4/13/2021,50,3088.5,69.8,45,62.82,89.947
N2104075,PE480,st04,PP,D04,,t1,2,24,4/13/2021,50,3254.9,73.56,45,66.204,122.787
N2104076,PE480,st04,PP,D04,,t1,3,24,4/13/2021,50,3085.9,69.74,45,62.766,91.806
N2104077,PE480,st04,PP,D04,,t1,3,24,4/13/2021,50,3077.5,69.55,45,62.595,91.806
N2104121,PE480,st04,PP,D04,,t3,1,144,4/15/2021,50,3011.8,68.07,45,61.263,92.641
N2104122,PE480,st04,PP,D04,,t3,2,144,4/15/2021,50,3146.8,71.12,45,64.008,89.048
N2104123,PE480,st04,PP,D04,,t3,3,144,4/15/2021,50,3425.4,77.41,45,69.669,88.728
N2104151,PE480,st04,PP,D04,,t2,1,72,4/16/2021,50,3172.1,71.69,45,64.521,143.948
N2104152,PE480,st04,PP,D04,,t2,2,72,4/16/2021,50,3361.1,75.96,45,68.364,90.141
N2104153,PE480,st04,PP,D04,,t2,3,72,4/16/2021,50,3344,75.57,45,68.013,88.359
N2104068,PE480,st04,PP,D05,,t1,1,24,4/13/2021,50,3099.3,70.04,45,63.036,330.285
N2104070,PE480,st04,PP,D05,,t1,2,24,4/13/2021,50,3128.3,70.7,45,63.63,56.083
N2104071,PE480,st04,PP,D05,,t1,3,24,4/13/2021,50,3060.3,69.16,45,62.244,296.522
N2104118,PE480,st04,PP,D05,,t3,1,144,4/15/2021,50,3223.4,72.85,45,65.565,267.317
N2104119,PE480,st04,PP,D05,,t3,2,144,4/15/2021,50,3256.5,73.6,45,66.24,281.383
N2104120,PE480,st04,PP,D05,,t3,3,144,4/15/2021,50,2997.3,67.74,45,60.966,282.776
N2104148,PE480,st04,PP,D05,,t2,1,72,4/16/2021,50,3146.1,71.1,45,63.99,295.079
N2104149,PE480,st04,PP,D05,,t2,2,72,4/16/2021,50,3290.7,74.37,45,66.933,141.355
N2104150,PE480,st04,PP,D05,,t2,3,72,4/16/2021,50,3297,74.51,45,67.059,272.668
N2104061,PE480,st04,PP,D06,,t1,1,24,4/13/2021,50,3067.7,69.33,45,62.397,176.352
N2104064,PE480,st04,PP,D06,,t1,2,24,4/13/2021,50,2933.2,66.29,45,59.661,98.878
N2104065,PE480,st04,PP,D06,,t1,3,24,4/13/2021,50,3082.9,69.67,45,62.703,176.232
N2104114,PE480,st04,PP,D06,,t3,1,144,4/14/2021,50,3104.3,70.16,45,63.144,-8.703
N2104115,PE480,st04,PP,D06,,t3,1,144,4/15/2021,50,3125.7,70.64,45,63.576,-8.703
N2104116,PE480,st04,PP,D06,,t3,2,144,4/15/2021,50,2553.1,57.7,45,51.93,220.019
N2104117,PE480,st04,PP,D06,,t3,3,144,4/15/2021,50,3023.2,68.32,45,61.488,217.433
N2104145,PE480,st04,PP,D06,,t2,1,72,4/16/2021,50,3260.7,73.69,45,66.321,291.044
N2104146,PE480,st04,PP,D06,,t2,2,72,4/16/2021,50,3310,74.81,45,67.329,198.335
N2104147,PE480,st04,PP,D06,,t2,3,72,4/16/2021,50,3331.8,75.3,45,67.77,194.516
N2104054,PE480,st04,PP,D07,,t1,1,24,4/12/2021,50,3282.1,74.18,45,66.762,351.834
N2104057,PE480,st04,PP,D07,,t1,2,24,4/12/2021,50,3134.8,70.85,45,63.765,171.378
N2104060,PE480,st04,PP,D07,,t1,3,24,4/13/2021,50,3067.7,69.33,45,62.397,109.696
N2104109,PE480,st04,PP,D07,,t3,1,144,4/14/2021,50,3011.3,68.06,45,61.254,185.33
N2104111,PE480,st04,PP,D07,,t3,2,144,4/14/2021,50,3274.1,73.99,45,66.591,189.492
N2104112,PE480,st04,PP,D07,,t3,3,144,4/14/2021,50,3168,71.6,45,64.44,176.062
N2104142,PE480,st04,PP,D07,,t2,1,72,4/16/2021,50,3249.9,73.45,45,66.105,159.686
N2104143,PE480,st04,PP,D07,,t2,2,72,4/16/2021,50,3430.8,77.54,45,69.786,136.045
N2104144,PE480,st04,PP,D07,,t2,3,72,4/16/2021,50,3245.6,73.35,45,66.015,251.964
N2104049,PE480,st04,PP,D08,,t1,1,24,4/12/2021,50,3172.4,71.7,45,64.53,93.594
N2104052,PE480,st04,PP,D08,,t1,2,24,4/12/2021,50,3144.4,71.06,45,63.954,319.869
N2104053,PE480,st04,PP,D08,,t1,3,24,4/12/2021,50,2998.4,67.76,45,60.984,97.618
N2104103,PE480,st04,PP,D08,,t3,1,144,4/14/2021,50,3175.7,71.77,45,64.593,125.984
N2104106,PE480,st04,PP,D08,,t3,2,144,4/14/2021,50,3074.1,69.47,45,62.523,143.499
N2104107,PE480,st04,PP,D08,,t3,3,144,4/14/2021,50,3011.3,68.06,45,61.254,144.757
N2104139,PE480,st04,PP,D08,,t2,1,72,4/15/2021,50,2640.3,59.67,45,53.703,125.982
N2104140,PE480,st04,PP,D08,,t2,2,72,4/16/2021,50,3200.3,72.33,45,65.097,106.931
N2104141,PE480,st04,PP,D08,,t2,3,72,4/16/2021,50,3189.2,72.08,45,64.872,158.317
N2104027,PE480,st04,PP,D09,,t1,1,24,4/9/2021,20,1086.9,24.56,45,55.26,104.809
N2104028,PE480,st04,PP,D09,,t1,2,24,4/9/2021,20,1689.4,38.18,45,85.905,245.635
N2104029,PE480,st04,PP,D09,,t1,3,24,4/9/2021,20,1105.5,24.98,45,56.205,114.823
N2104097,PE480,st04,PP,D09,,t3,1,144,4/14/2021,50,3108.3,70.25,45,63.225,152.79
N2104100,PE480,st04,PP,D09,,t3,2,144,4/14/2021,50,3184.1,71.96,45,64.764,154.814
N2104101,PE480,st04,PP,D09,,t3,3,144,4/14/2021,50,3475.9,78.56,45,70.704,164.528
N2104136,PE480,st04,PP,D09,,t2,1,72,4/15/2021,50,2821.3,63.76,45,57.384,122.921
N2104137,PE480,st04,PP,D09,,t2,2,72,4/15/2021,50,3456.1,78.11,45,70.299,289.441
N2104138,PE480,st04,PP,D09,,t2,3,72,4/15/2021,50,2966.2,67.04,45,60.336,127.075
N2104019,PE480,st04,PP,-,10,t0,1,0,4/9/2021,20,1002.4,22.65,45,50.9625,292.221
N2104020,PE480,st04,PP,-,10,t0,2,0,4/9/2021,20,1104.4,24.96,45,56.16,311.246
N2104021,PE480,st04,PP,-,10,t0,3,0,4/9/2021,20,1099.8,24.86,45,55.935,270.914
N2104022,PE480,st04,PP,-,10,t0,4,0,4/9/2021,20,1160.8,26.23,45,59.0175,313.931
N2104023,PE480,st04,PP,-,10,t0,5,0,4/9/2021,20,1105.5,24.98,45,56.205,294.901
N2104024,PE480,st04,PP,D10,,t1,1,24,4/9/2021,20,1088.5,24.6,45,55.35,98.127
N2104025,PE480,st04,PP,D10,,t1,2,24,4/9/2021,20,1118.5,25.28,45,56.88,315.155
N2104026,PE480,st04,PP,D10,,t1,3,24,4/9/2021,20,1083.3,24.48,45,55.08,99.055
N2104092,PE480,st04,PP,D10,,t3,1,144,4/14/2021,50,3053.7,69.01,45,62.109,139.657
N2104093,PE480,st04,PP,D10,,t3,2,144,4/14/2021,50,3230.1,73,45,65.7,207.521
N2104096,PE480,st04,PP,D10,,t3,3,144,4/14/2021,50,3129.9,70.74,45,63.666,145.344
N2104133,PE480,st04,PP,D10,,t2,1,72,4/15/2021,50,2683.1,60.64,45,54.576,108.852
N2104134,PE480,st04,PP,D10,,t2,2,72,4/15/2021,50,2807.4,63.45,45,57.105,122.015
N2104135,PE480,st04,PP,D10,,t2,3,72,4/15/2021,50,2918.8,65.96,45,59.364,114.671
N2104167,PE480,st04,background,-,,t2,1,72,4/16/2021,50,3028.2,68.44,45,61.596,0.808
N2104168,PE480,st04,background,-,,t2,2,72,4/16/2021,50,3127.9,70.69,45,63.621,0.22
N2104169,PE480,st04,background,-,,t2,3,72,4/16/2021,50,3154.7,71.3,45,64.17,0.653
N2104173,PE480,st11,background,-,,t2,1,72,4/19/2021,50,3122.8,70.58,45,63.522,147.624
N2104174,PE480,st11,background,-,,t2,2,72,4/19/2021,50,3218.7,72.74,45,65.466,3.189
N2104175,PE480,st11,background,-,,t2,3,72,4/19/2021,50,2800.1,63.28,45,56.952,-2.883
N2104188,PE480,st11,PP,D01,,t1,1,24,4/19/2021,50,2932.2,66.27,45,59.643,188.374
N2104189,PE480,st11,PP,D01,,t1,2,24,4/19/2021,50,3131.1,70.76,45,63.684,104.438
N2104190,PE480,st11,PP,D01,,t1,3,24,4/19/2021,50,3122.8,70.58,45,63.522,104.829
N2104191,PE480,st11,PP,D02,,t1,1,24,4/19/2021,50,3436.7,77.67,45,69.903,103.833
N2104192,PE480,st11,PP,D02,,t1,2,24,4/19/2021,50,3185.8,72,45,64.8,202.095
N2104193,PE480,st11,PP,D02,,t1,3,24,4/19/2021,50,3358.7,75.91,45,68.319,101.009
N2104179,PE480,st11,PP,D01,,t2,1,72,4/19/2021,50,3102.9,70.13,45,63.117,270.223
N2104180,PE480,st11,PP,D01,,t2,2,72,4/19/2021,50,3158.6,71.38,45,64.242,281.67
N2104181,PE480,st11,PP,D01,,t2,3,72,4/19/2021,50,3108.1,70.24,45,63.216,270.678
N2104182,PE480,st11,PP,D02,,t2,1,72,4/19/2021,50,3044,68.79,45,61.911,280.576
N2104183,PE480,st11,PP,D02,,t2,2,72,4/19/2021,50,3039.6,68.69,45,61.821,286.395
N2104184,PE480,st11,PP,D02,,t2,3,72,4/19/2021,50,3005.3,67.92,45,61.128,276.865
N2104185,PE480,st11,PP,D01,,t3,1,144,4/19/2021,50,3020.7,68.27,45,61.443,344.106
N2104186,PE480,st11,PP,D01,,t3,2,144,4/19/2021,50,10.6,0.23956,45,0.215604,
N2104187,PE480,st11,PP,D01,,t3,3,144,4/19/2021,50,3178.6,71.84,45,64.656,352.892
N2104194,PE480,st11,PP,D02,,t3,1,144,4/19/2021,50,3174.4,71.74,45,64.566,351.742
N2104195,PE480,st11,PP,D02,,t3,2,144,4/19/2021,50,2954.1,66.76,45,60.084,345.595
N2104196,PE480,st11,PP,D02,,t3,3,144,4/19/2021,50,3170.5,71.65,45,64.485,354.302
N2104197,PE480,st11,PP,D01,,t3,2,144,4/19/2021,50,3352.4,75.76,45,68.184,341.08
N2104198,ROOM AIR,-,-,-,-,-,-,-,4/22/2021,50,58.2,1.32,45,1.188,
N2104236,PE480,st04,PE,-,,t0,1,,6/7/2021,50,3058.9,69.13,45,62.217,314.91
N2104237,PE480,st04,PE,-,,t0,2,,6/7/2021,50,3232.7,73.06,45,65.754,303.798
N2104239,PE480,st04,PE,-,,t0,3,,6/8/2021,50,2941,66.47,45,59.823,308.829
N2104240,PE480,st04,PE,-,,t0,4,,6/8/2021,50,3013.3,68.1,45,61.29,279.323
N2104241,PE480,st04,PE,-,,t0,5,,6/8/2021,50,3083.2,69.68,45,62.712,299.047
N2104244,PE480,st04,PE,D03,,t1,1,,6/8/2021,50,2964,66.99,45,60.291,141.311
N2104245,PE480,st04,PE,D03,,t1,2,,6/8/2021,50,3161,71.44,45,64.296,142.196
N2104246,PE480,st04,PE,D03,,t1,3,,6/8/2021,50,3080.8,69.63,45,62.667,139.242
N2104259,PE480,st04,PE,D03,,t2,1,,6/8/2021,50,3167.1,71.58,45,64.422,139.96
N2104260,PE480,st04,PE,D03,,t2,2,,6/8/2021,50,3079.4,69.59,45,62.631,178.88
N2104170,PE480,st04,background,-,,t3,1,144,4/16/2021,50,3049.8,68.93,45,62.037,0.615
N2104171,PE480,st04,background,-,,t3,2,144,4/16/2021,50,3124.8,70.62,45,63.558,0.696
N2104172,PE480,st04,background,-,,t3,3,144,4/16/2021,50,3977.3,89.89,45,80.901,-0.287
N2104176,PE480,st11,background,-,,t3,1,144,4/19/2021,50,3173.4,71.72,45,64.548,0.059
N2104177,PE480,st11,background,-,,t3,2,144,4/19/2021,50,3229.4,72.98,45,65.682,3.759
N2104178,PE480,st11,background,-,,t3,3,144,4/19/2021,50,3152.5,71.25,45,64.125,-0.602
N2104227,PE480,st11,PE,-,,t0,1,0,6/7/2021,50,2974.9,67.23,45,60.507,149.562
N2104228,PE480,st11,PE,-,,t0,2,0,6/7/2021,50,3041.6,68.74,45,61.866,148.837
N2104229,PE480,st11,PE,-,,t0,3,0,6/7/2021,50,2880.5,65.1,45,58.59,150.998
N2104209,PE480,st11,PE,D01,,t1,1,24,6/7/2021,50,3146.7,71.12,45,64.008,337.458
N2104210,PE480,st11,PE,D01,,t1,2,24,6/7/2021,50,3063,69.22,45,62.298,155.024
N2104211,PE480,st11,PE,D01,,t1,3,24,6/7/2021,50,3185.8,72,45,64.8,151.394
N2104212,PE480,st11,PE,D02,,t1,1,24,6/7/2021,50,2955.2,66.79,45,60.111,155.342
N2104213,PE480,st11,PE,D02,,t1,2,24,6/7/2021,50,3097,69.99,45,62.991,151.277
N2104214,PE480,st11,PE,D02,,t1,3,24,6/7/2021,50,3048.3,68.89,45,62.001,151.37
N2104215,PE480,st11,PE,D01,,t2,1,72,6/7/2021,50,3324.1,75.12,45,67.608,278.975
N2104216,PE480,st11,PE,D01,,t2,2,72,6/7/2021,50,3170.1,71.64,45,64.476,298.116
N2104217,PE480,st11,PE,D01,,t2,3,72,6/7/2021,50,3182.2,71.92,45,64.728,301.47
N2104218,PE480,st11,PE,D02,,t2,1,72,6/7/2021,50,3050.9,68.95,45,62.055,280.716
N2104219,PE480,st11,PE,D02,,t2,2,72,6/7/2021,50,3250.9,73.47,45,66.123,281.17
N2104220,PE480,st11,PE,D02,,t2,3,72,6/7/2021,50,3008.2,67.99,45,61.191,286.203
N2104221,PE480,st11,PE,D01,,t3,1,144,6/7/2021,50,2990.8,67.59,45,60.831,366.709
N2104222,PE480,st11,PE,D01,,t3,2,144,6/7/2021,50,3150.2,71.19,45,64.071,355.852
N2104223,PE480,st11,PE,D01,,t3,3,144,6/7/2021,50,3061.8,69.2,45,62.28,360.498
N2104224,PE480,st11,PE,D02,,t3,1,144,6/7/2021,50,3056.1,69.07,45,62.163,363.966
N2104225,PE480,st11,PE,D02,,t3,2,144,6/7/2021,50,3128.7,70.71,45,63.639,360.702
N2104226,PE480,st11,PE,D02,,t3,3,144,6/7/2021,50,3232,73.04,45,65.736,349.547
N2104261,PE480,st04,PE,D03,,t2,3,,6/8/2021,50,3110.9,70.31,45,63.279,147.624
N2104274,PE480,st04,PE,D03,,t3,1,,6/8/2021,50,3083.7,69.69,45,62.721,239.089
N2104275,PE480,st04,PE,D03,,t3,2,,6/8/2021,50,3045.9,68.84,45,61.956,210.595
N2104276,PE480,st04,PE,D03,,t3,3,,6/8/2021,50,3028.6,68.45,45,61.605,213.326
N2104199,PE480,st04,PE,D10,,t1,1,24,4/22/2021,50,3040.7,68.72,45,61.848,181.056
N2104200,PE480,st04,PE,D10,,t1,2,24,4/22/2021,50,3009.3,68.01,45,61.209,156.865
N2104201,PE480,st04,PE,D10,,t1,3,24,4/22/2021,50,2867,64.79,45,58.311,156.865
N2104247,PE480,st04,PE,D10,,t2,1,,6/8/2021,50,3008.8,68,45,61.2,267.813
N2104248,PE480,st04,PE,D10,,t2,2,,6/8/2021,50,3018.7,68.22,45,61.398,274.471
N2104249,PE480,st04,PE,D10,,t2,3,,6/8/2021,50,3095.2,69.95,45,62.955,278.055
N2104262,PE480,st04,PE,D10,,t3,1,,6/8/2021,50,2897,65.47,45,58.923,312.203
N2104263,PE480,st04,PE,D10,,t3,2,,6/8/2021,50,3242,73.27,45,65.943,319.487
N2104264,PE480,st04,PE,D10,,t3,3,,6/8/2021,50,2991.7,67.61,45,60.849,326.467
N2104202,PE480,st04,PE,D09,,t1,1,24,4/22/2021,50,3251.1,73.47,45,66.123,158.017
N2104203,PE480,st04,PE,D09,,t1,2,24,4/22/2021,50,3204.8,72.43,45,65.187,155.015
N2104204,PE480,st04,PE,D09,,t1,3,24,4/22/2021,50,3141,70.99,45,63.891,174.601
N2104250,PE480,st04,PE,D09,,t2,1,,6/8/2021,50,3003.2,67.87,45,61.083,323.981
N2104251,PE480,st04,PE,D09,,t2,2,,6/8/2021,50,3573,80.75,45,72.675,278.055
N2104252,PE480,st04,PE,D09,,t2,3,,6/8/2021,50,3142.4,71.02,45,63.918,180.087
N2104265,PE480,st04,PE,D09,,t3,1,,6/8/2021,50,3348,75.66,45,68.094,231.679
N2104266,PE480,st04,PE,D09,,t3,2,,6/8/2021,50,2957.2,66.83,45,60.147,214.287
N2104267,PE480,st04,PE,D09,,t3,3,,6/8/2021,50,3291,74.38,45,66.942,204.811
N2104205,PE480,st04,PE,D08,,t1,1,24,4/22/2021,50,3120.8,70.53,45,63.477,0.393
N2104206,PE480,st04,PE,D08,,t1,2,24,4/22/2021,50,3101.5,70.09,45,63.081,0.326
N2104207,PE480,st04,PE,D08,,t1,3,24,4/22/2021,50,3127.1,70.67,45,63.603,0.044
N2104253,PE480,st04,PE,D08,,t2,1,,6/8/2021,50,3037,68.64,45,61.776,214.844
N2104254,PE480,st04,PE,D08,,t2,2,,6/8/2021,50,2868.8,64.83,45,58.347,215.647
N2104255,PE480,st04,PE,D08,,t2,3,,6/8/2021,50,3024,68.34,45,61.506,213.082
N2104268,PE480,st04,PE,D08,,t3,1,,6/8/2021,50,2965.9,67.03,45,60.327,243.42
N2104269,PE480,st04,PE,D08,,t3,2,,6/8/2021,50,3054.1,69.02,45,62.118,242.912
N2104270,PE480,st04,PE,D08,,t3,3,,6/8/2021,50,3011.9,68.07,45,61.263,239.089
N2104208,PE480,st04,PE,D07,,t1,1,24,4/22/2021,50,3350.2,75.71,45,68.139,287.364
N2104242,PE480,st04,PE,D07,,t1,2,,6/8/2021,50,3052.5,68.99,45,62.091,200.173
N2104243,PE480,st04,PE,D07,,t1,3,,6/8/2021,50,3062.9,69.22,45,62.298,213.141
N2104256,PE480,st04,PE,D07,,t2,1,,6/8/2021,50,3096,69.97,45,62.973,
N2104257,PE480,st04,PE,D07,,t2,2,,6/8/2021,50,3011.1,68.05,45,61.245,
N2104258,PE480,st04,PE,D07,,t2,3,,6/8/2021,50,3077,69.54,45,62.586,
N2104271,PE480,st04,PE,D07,,t3,1,,6/8/2021,50,3058.5,69.12,45,62.208,
N2104272,PE480,st04,PE,D07,,t3,2,,6/8/2021,50,2954.6,66.77,45,60.093,
N2104273,PE480,st04,PE,D07,,t3,3,,6/8/2021,50,3091.9,69.88,45,62.892,
